"procedure_key","procedure_name","requested_analysis_name","procedure_abbreviation","procedure_code","procedure_description","SSIR_42_v_5_Page_number","URL_to_SSIR_42_v_5"
59,"Saturated Paste and Soluble Salts","Saturated Paste and Soluble Salts","SATP","SATP_TAMU","SSIR No. 42, version 4, page 278",,
60,"Sulfur, Total","Sulfur, Total","TOTS","6R3c","CMS, LIMS, elementar NCS SSIR No. 42, version 4, page 528","464","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=492"
61,"Surface Area, EGME","Surface Area, EGME","EGME","7D2","SSIR No. 42, version 4, page 555","819","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=847"
62,"Thermogravimetric Analysis","Clay Mineralogy, TGA","TGA51","7A2a","SSIR No. 42, version 4, page 415","533","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=561"
62,"Thermogravimetric Analysis","Clay Mineralogy, TGA","TGA51","7A2a","SSIR No. 42, version 4, page 415","533","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=561"
62,"Thermogravimetric Analysis","Clay Mineralogy, TGA","TGA51","7A4b","SSIR No. 42, version 4, page 415",,
63,"Thin Section","Micromorphology, Thin Section","THINSECT","3E1","SSIR No. 42, version 4, page 140","181","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=209"
64,"Total Analysis, HF, HNO3, HCl Dissolution","Total Elemental Analysis","TOTANAL","4H1b","SSIR No. 42, version 4, page 341","456","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=484"
65,"Water Retention, 0.06 Bar, Pressure-Plate, <2mm","Water Retention, 0.06 Bar, Pressure-Plate, <2mm","H2O.06Br<2","3C1a1a","SSIR No. 42, version 4, page 106","141","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=169"
66,"Water Retention, 0.1 Bar, Pressure-Plate, <2mm","Water Retention, 0.1 Bar, Pressure-Plate, <2mm","H2O.1Bar<2","3C1b1a","SSIR No. 42, version 4, page 106","141","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=169"
67,"Water Retention, 0.33 Bar, Pressure-Plate, <2mm","Water Retention, 0.33 Bar, Pressure-Plate, <2mm","H2O.33Br<2","3C1c1a","SSIR No. 42, version 4, page 106","141","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=169"
67,"Water Retention, 0.33 Bar, Pressure-Plate, <2mm","Water Retention, 0.33 Bar, Pressure-Plate, <2mm","H2O.33Br<2","4B1a","SSIR No. 42, version 4, page 106","141","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=169"
68,"Water Retention, 1 Bar, Pressure-Plate, <2mm","Water Retention, 1 Bar, Pressure-Plate, <2mm","H2O1Bar<2","3C1d1a","SSIR No. 42, version 4, page 106","141","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=169"
69,"Water Retention, 15 Bar, Pressure-Plate, <2mm","Water Retention, 15 Bar, Pressure-Plate, <2mm","H2O15Bar<2","3C2a1a","SSIR No. 42, version 4, page 106","165","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=193"
69,"Water Retention, 15 Bar, Pressure-Plate, <2mm","Water Retention, 15 Bar, Pressure-Plate, <2mm","H2O15Bar<2","3C2a1a","SSIR No. 42, version 4, page 106","165","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=193"
69,"Water Retention, 15 Bar, Pressure-Plate, <2mm","Water Retention, 15 Bar, Pressure-Plate, <2mm","H2O15Bar<2","4B2a","SSIR No. 42, version 4, page 106","165","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=193"
70,"Water Retention, 2 Bar, Pressure-Plate, <2mm","Water Retention, 2 Bar, Pressure-Plate, <2mm","H2O2Bar<2","3C1e1a","SSIR No. 42, version 4, page 106","141","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=169"
71,"Water Retention, ADOD","Water Retention, ADOD","ADOD","3D1","SSIR No. 42, version 4, page 132","171","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=199"
72,"Water Retention, Field State","Water Retention, Field State","H2ORETFLD","3C3","SSIR No. 42, version 4, page 131","169","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=197"
72,"Water Retention, Field State","Water Retention, Field State","H2ORETFLD","4B4","SSIR No. 42, version 4, page 131","169","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=197"
73,"X-ray Diffraction, Thin Film on Glass, Resin Pretreatment","Clay Mineralogy, X-ray Diffraction","XRAY","7A1a1","SSIR No. 42, version 4, page 399","676","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=704"
74,"Total N, C, S","Total Nitrogen, Carbon and Sulfur","NCS_Tot","4H2a","SSIR No. 42, version 4, page 347","464","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=492"
75,"Melanic Index","Melanic Index","Melanic","5D","SSIR No. 42, version 4, page 374","502","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=530"
76,"Phosphorus, Mehlich III","Phosphorus, Mehlich III","MEHLICH3P","4D6a1","SSIR No. 42, version 4, page 246","340","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=368"
77,"Trace Elements (HNO3 + HCl)","Trace Elements","TrElem","4H1a","SSIR No. 42, version 4, page 324","445","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=473"
77,"Trace Elements (HNO3 + HCl)","Trace Elements","TrElem","4H1a","SSIR No. 42, version 4, page 324","445","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=473"
78,"Major Elements (HF+HNO3+HCl)","Major Elements","MjElem","4H1b","SSIR No. 42, version 4, page 341","456","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=484"
79,"Nitrogen, Mineralizable (EPA)","Nitrogen, Mineralizable (EPA)","MINTEPA","4D10a1","SSIR No. 42, version 4, page 265","365","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=393"
80,"CEC and Cations, NH4OAc, 2M KCl displacement","CEC and Cations, Routine","CECdNH4","4B1a1a",,"230","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=258"
81,"Cations, Acid Oxalate Extractable, Optical Density","Acid Oxalate extraction","OXAL","8J","CMS, SSIR No. 42, version 3, page","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
81,"Cations, Acid Oxalate Extractable, Optical Density","Acid Oxalate extraction","OXAL","8J1b","CMS, SSIR No. 42, version 3, page","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
81,"Cations, Acid Oxalate Extractable, Optical Density","Acid Oxalate extraction","OXAL","8J1c","CMS, SSIR No. 42, version 3, page","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
82,"Cations, Acid Oxalate Extractable, Optical Density","Acid Oxalate extraction","OXAL","8J","CMS, SSIR No. 42, version 3, page 279","846","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=874"
82,"Cations, Acid Oxalate Extractable, Optical Density","Acid Oxalate extraction","OXAL","8J1b","CMS, SSIR No. 42, version 3, page 279","846","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=874"
82,"Cations, Acid Oxalate Extractable, Optical Density","Acid Oxalate extraction","OXAL","8J1c","CMS, SSIR No. 42, version 3, page 279","846","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=874"
83,"Phosphorus, Bray 1","Phosphorus, Bray 1","unknown","4D3","CMS","327","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=355"
83,"Phosphorus, Bray 1","Phosphorus, Bray 1","unknown","4D3a1","CMS","327","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=355"
83,"Phosphorus, Bray 1","Phosphorus, Bray 1","unknown","6S3b","CMS","788","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=816"
83,"Phosphorus, Bray 1","Phosphorus, Bray 1","unknown","6S3d","CMS","788","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=816"
83,"Phosphorus, Bray 1","Phosphorus, Bray 1","unknown","6S3e","CMS","788","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=816"
83,"Phosphorus, Bray 1","Phosphorus, Bray 1","unknown","6S3f","CMS","788","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=816"
83,"Phosphorus, Bray 1","Phosphorus, Bray 1","unknown","BRAYP","CMS","788","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=816"
84,"Bulk Density","Bulk Density","unknown",,"CMS",,
85,"Bulk Density, estimated","Bulk Density","Dbest",,"CMS",,
86,"Bulk Density and Water Retention, Clods","Bulk Density, Clod","DBH2ORET",,"CMS, SSIR No. 42, 1972, page 14",,
87,"Bulk Density and Water Retention, Clods","Bulk Density, Clod","unknown",,"CMS",,
88,"Bulk Density, Rewet, Clods","Bulk Density, Clod, Rewet","unknown","3B1d","CMS","119","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=147"
89,"Calcium Carbonate Equivalent, H2SO4,","Calcium Carbonate Equivalent, <2mm","CACO3",,"CMS, SSIR No. 42, 1972, page 35",,
90,"Calcium Carbonate Equivalent, HCl,","Calcium Carbonate Equivalent, <2mm","CACO3","6E1d","CMS, SSIR No. 42, 1972, page 34","932","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=960"
91,"Calcium Carbonate Equivalent, HCl,","Calcium Carbonate Equivalent, <2mm","CACO3","6E1c","CMS, SSIR No. 42, 1972, page 34","930","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=958"
92,"Calcium Carbonate Equivalent, HCl,","Calcium Carbonate Equivalent, <2mm","CACO3","6E1b","CMS, SSIR No. 42, 1972, page 33","929","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=957"
93,"Calcium Carbonate Equivalent, HCl,","Calcium Carbonate Equivalent, <2mm","CACO3","6E1g","CMS, SSIR No. 42, 1984, page 39","370","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=398"
94,"Calcium Carbonate Equivalent, HCl,","Calcium Carbonate Equivalent, <2mm","CACO3","6E1a","CMS, SSIR No. 42, 1972, page","929","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=957"
95,"Calcium Carbonate Equivalent, HCl,","Calcium Carbonate Equivalent, <2mm","CACO3",,"CMS, SSIR No. 42, version 3, page 271",,
96,"CEC, BaCl2, pH 8.2","CEC and Cations, BaCl2, pH 8.2","CECbacl","5A5","CMS, SSIR No. 42, 1972, page 23","906","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=934"
97,"CEC, KOAc, pH 7.0","CEC and Cations, KOAc, pH 7.0","CECkac",,"CMS, SSIR No. 42, 1972, page 23",,
98,"CEC, NaOAc, pH 8.2, centrifuge","CEC and Cations, NaOAc, pH 8.2","CECnac","5A2a","CMS, SSIR No. 42, 1972, page 23","904","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=932"
99,"CEC, NH4OAc, pH 7.0, Buchner funnel, direct distillation","CEC and Cations, NH4OAc, pH 7.0","CECNH4b","5A1a","CMS, SSIR No. 42, 1972, page 22","903","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=931"
100,"CEC, NH4OAc, pH 7.0","CEC and Cations, NH4OAc, pH 7.0","unknown",,"CMS",,
101,"CEC, NH4OAc, pH 7.0, leaching tube, direct distillation","CEC and Cations, NH4OAc, pH 7.0","CECNH4l","5A6a","CMS, SSIR No. 42, 1972, page 24","907","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=935"
102,"CEC, NH4OAc, pH 7.0, automatic extractor","CEC and Cations, NH4OAc, pH 7.0","CECNH4ae",,"CMS, SSIR No. 42, 1984, page 29",,
103,"CEC, NH4OAc, pH 7.0, automatic extractor, direct distillation","CEC and Cations, NH4OAc, pH 7.0","CECNH4aed","5A8a","CMS, SSIR No. 42, 1984, page 30","908","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=936"
104,"CEC, NH4OAc, pH 7.0, automatic extractor, steam distillation I","CEC and Cations, NH4OAc, pH 7.0","CECNH4aes","5A8b","CMS, SSIR No. 42, 1984, page 30","827","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=855"
104,"CEC, NH4OAc, pH 7.0, automatic extractor, steam distillation I","CEC and Cations, NH4OAc, pH 7.0","CECNH4aes","5A8b","CMS, SSIR No. 42, 1984, page 30","827","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=855"
105,"Cations, Dithionite-Citrate Extractable","Dithionite-Citrate Extract","unknown","4G1","CMS","426","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=454"
106,"Cations, Dithionite-Citrate Extractable","Dithionite-Citrate Extract","DITH","4G1","CMS, SSIR No. 42, 1972, page 31","426","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=454"
107,"Cations, Dithionite-Citrate Extractable","Dithionite-Citrate Extract","DITH","4G1","CMS, SSIR No. 42, 1984, page 37","426","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=454"
108,"Cations, Dithionite-Citrate Extractable","Dithionite-Citrate Extract","DITH","4G1","CMS, SSIR No. 42, version 3, page 233","426","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=454"
109,"Cations, Dithionite-Citrate Extractable","Dithionite-Citrate Extract","DITH","4G1","CMS","426","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=454"
110,"Cations, Dithionite-Citrate Extractable","Dithionite-Citrate Extract","DITH","4G1","CMS","426","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=454"
111,"Cations, Dithionite-Citrate Extractable","Dithionite-Citrate Extract","DITH","4G1","CMS","426","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=454"
112,"Extractable Acidity, BaCl2-Triethanolamine I","Extractable Acidity, BaCl2-TEA","EXTRACID","6H1a","CMS, SSIR No. 1, 1972, page 38","943","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=971"
113,"Extractable Acidity, BaCl2-Triethanolamine II","Extractable Acidity, BaCl2-TEA","EXTRACID","6H2b","CMS, SSIR No. 1, 1972, page 38","944","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=972"
114,"Extractable Acidity, BaCl2-Triethanolamine III","Extractable Acidity, BaCl2-TEA","EXTRACID","6H4a","CMS, SSIR No. 1, 1984, page 45",,
115,"Extractable Acidity, BaCl2-Triethanolamine IV, automatic extractor","Extractable Acidity, BaCl2-TEA","EXTRACID","6H5a","CMS, SSIR No. 1, 1984, page 45",,
116,"Extractable Acidity, BaCl2-Triethanolamine","Extractable Acidity, BaCl2-TEA","unknown",,"CMS",,
117,"Gypsum","Gypsum, <2mm","unknown",,"CMS",,
118,"Gypsum, indirect estimate, Ca & SO4","Gypsum, <2mm","GYPSUM",,"CMS, SSIR No. 42, 1972, page 36",,
119,"Gypsum, weight loss","Gypsum, <2mm","GYPSUM","6F2a","CMS, SSIR No. 42, 1984, page 41",,
120,"Gypsum, ion chromatograph","Gypsum, <2mm","GYPSUM","6F1c","CMS, SSIR No. 42, 1984, page 41",,
121,"Gypsum, H2O Extraction, Acetone Precipitation, <2mm","Gypsum, <2mm","GYPSUM","4E2a1a1a1","CMS, SSIR No. 42, 1972, page 35 duplicate delete","375","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=403"
121,"Gypsum, H2O Extraction, Acetone Precipitation, <2mm","Gypsum, <2mm","GYPSUM","6F1a","CMS, SSIR No. 42, 1972, page 35 duplicate delete","375","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=403"
122,"Major Elements","Major Elements","unknown",,"CMS",,
123,"Major Elements (HF dissolution, AA)","Major Elements","MjElem",,"CMS, SSIR No. 42, 1984, page 60",,
124,"Major Elements (HFdissolution, ICP)","Major Elements","MjElem",,"CMS",,
125,"Organic Fiber Analysis","Fiber Analysis","unknown","5C","CMS","499","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=527"
126,"Cations, Potassium Chloride Extractable","KCl Extract","unknown","4B3a1a","CMS","254","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=282"
127,"Cations, Potassium Chloride Extractable I (6G1b)","KCl Extract, Al","AL_KCL","6G1b","CMS, SSIR No. 1, 1972, page 36",,
128,"Cations, Potassium Chloride Extractable II, overnight (6G2a)","KCl Extract, Al","AL_KCL","6G2a","CMS, SSIR No. 1, 1972, page 37",,
129,"Cations, Potassium Chloride Extractable, 1N, automatic extractor, AA (6G9a)","KCl Extract, Al","AL_KCL","6G9a","CMS, SSIR No. 1, 1984, page 43",,
130,"Cations, Potassium Chloride Extractable, 1 N, automatic extractor< ICP","KCl Extract","KCL",,"CMS, SSIR No. 42, 1984, page 43",,
131,"Organic Carbon, acid dichromate digestion, FeSO4 titration","Organic Carbon","WBC1","6A1a","CMS, SSIR No. 42, 1972, page 26","911","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=939"
132,"Organic Carbon, acid dichromate digestion, CO2 evolution, gravimetric","Organic Carbon","ALLI","6A1b","CMS, SSIR No. 42, 1972, page 26","912","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=940"
133,"Organic Carbon, acid dichromate digestion, FeSO4 titration, automatic titrator","Organic Carbon","WBC2","6A1c","CMS, SSIR No. 42, 1984, page 34",,
134,"Organic Carbon, 6A","Organic Carbon","unknown","6A","CMS",,
135,"pH, 1:1 1N KCl, automated system","pH, KCl","PHKCL",,"CMS, SSIR No. 42, version 3, page 419",,
136,"pH, 1N KCl","pH, KCl","unknown","4C1a2a3","CMS, SSIR No. 42, 1972, page 59","992","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=1020"
136,"pH, 1N KCl","pH, KCl","unknown","8C1c","CMS, SSIR No. 42, 1972, page 59","992","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=1020"
136,"pH, 1N KCl","pH, KCl","unknown","8C1c","CMS, SSIR No. 42, 1972, page 59",,
137,"pH, 1:1 Water","pH, H2O","pHH2O","8C1a","CMS, SSIR No. 42, 1972, page 59",,
137,"pH, 1:1 Water","pH, H2O","pHH2O","8C1a","CMS, SSIR No. 42, 1972, page 59","992","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=1020"
138,"pH, 1:1 Water","pH, H2O","unknown","8C1a","CMS",,
138,"pH, 1:1 Water","pH, H2O","unknown","8C1a","CMS","992","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=1020"
139,"pH, 1:2 0.01M CaCl2","pH, CaCl2","pHcacl","8C1e","CMS, SSIR No. 42, 1972, page 60",,
139,"pH, 1:2 0.01M CaCl2","pH, CaCl2","pHcacl","8C1e","CMS, SSIR No. 42, 1972, page 60","992","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=1020"
140,"pH, 1:2 0.01M CaCl2","pH, CaCl2","unknown","8C1e","CMS",,
140,"pH, 1:2 0.01M CaCl2","pH, CaCl2","unknown","8C1e","CMS","992","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=1020"
141,"pH, 1:10 Water","pH, 1:10 H2O","pHh2o10","8C1a","CMS","992","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=1020"
141,"pH, 1:10 Water","pH, 1:10 H2O","pHh2o10","8C1a","CMS","992","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=1020"
142,"pH, 1:10 0.01M CaCl2","pH, 1:10 CaCl2","pHcacl10",,"CMS",,
143,"Phosphorus Adsorption Coefficient","Phosphorus Adsorption Coefficient","PCoeff",,"CMS, SSIR No. 42, 1984, page 52",,
144,"PSDA, Air-dry,","PSDA, Air-dry,","unknown",,"CMS",,
145,"Bulk Sample Preparation","Sample Preparation","unknown",,"CMS",,
146,"Saturated Paste and Soluble Salts","Saturated Paste and Soluble Salts","unknown","4F2","CMS","390","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=418"
146,"Saturated Paste and Soluble Salts","Saturated Paste and Soluble Salts","unknown","SATP_TAMU","CMS",,
147,"Saturated Paste and Soluble Salts","Saturated Paste and Soluble Salts","SATP","4F2","CMS, SSIR No. 42, 1972, page 57","390","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=418"
147,"Saturated Paste and Soluble Salts","Saturated Paste and Soluble Salts","SATP","SATP_TAMU","CMS, SSIR No. 42, 1972, page 57",,
148,"Cations, Pyrophosphate Extractable","Na-Pyrophosphate Extract","unknown","4G3","CMS","440","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=468"
149,"Cations, Pyrophosphate Extractable I","Na-Pyrophosphate Extract","PYRO",,"CMS, SSIR No. 42, 1972, page 32",,
150,"Cations, Pyrophosphate Extractable II","Na-Pyrophosphate Extract","PYRO",,"CMS, SSIR No. 42, 1984, page 38",,
151,"Cations, Pyrophosphate Extractable III","Na-Pyrophosphate Extract","PYRO",,"CMS, SSIR No. 42, version 3, page 247",,
152,"Surface Area, EGME","Surface Area","unknown","7D2","CMS","819","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=847"
153,"Surface Area, EGME","Surface Area","EGME","7D2","CMS, SSIR No. 42, version 3, page 393","819","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=847"
154,"Surface Area, ethylene glycol","Surface Area","unknown","7D1","CMS",,
155,"Surface Area, ethylene glycol","Surface Area","SAEG","7D1","CMS, SSIR No. 42, 1972, page 56",,
156,"Total Carbon, dry combustion, CO2 evolution I, gravimetric","Carbon, Total","TOTC","6A2a","CMS, SSIR No. 42, 1972, page 27","914","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=942"
157,"Total Carbon, dry combustion, CO2 evolution II, gravimetric","Carbon, Total","TOTC","6A2b","CMS, SSIR No. 42, 1972, page 27","915","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=943"
158,"Total Carbon, dry combustion, CO2 evolution III","Carbon, Total","TOTC",,"CMS, SSIR No. 42, 1984, page 35",,
159,"Total Carbon, dry combustion, CO2 evolution IV","Carbon, Total","TOTC","6A2d","CMS, SSIR No. 42, version 1, page 238","836","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=864"
160,"Total Carbon, dry combustion, CO2 evolution V","Carbon, Total","TOTC","6A2e","CMS, SSIR No. 42, version 3, page 223","713","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=741"
161,"Total Nitrogen, Kjeldahl digestion, ammonia distillation","Nitrogen, Total","TOTN","6B1a","CMS, SSIR No. 42, 1972, page 29","918","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=946"
162,"Total Nitrogen, semimicro Kjeldahl, ammonia distillation","Nitrogen, Total","TOTN","6B2a","CMS, SSIR No. 42, 1972, page 29","920","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=948"
178,"Water Retention, 15 Bar, Pressure-Plate,","Water Retention, 15 Bar,","unknown","4B2b","CMS","165","#page=193"
179,"Water Retention,","Water Retention, 0.06 Bar, <2mm","H2O.06Br<2",,"CMS, SSIR No. 42, 1984, page 23",,
180,"Water Retention,","Water Retention, 0.1 Bar, <2mm","H2O.1Bar<2",,"CMS, SSIR No. 42, 1984, page 23",,
181,"Water Retention,","Water Retention, 2 Bar, <2mm","H2O2Bar<2",,"CMS, SSIR No. 42, 1984, page 23",,
182,"Water Retention,","Water Retention, 1 Bar, <2mm","H2O1Bar<2",,"CMS, SSIR No. 42, version 1, page 152",,
183,"Water Retention,","Water Retention, 2 Bar, <2mm","H2O2Bar<2",,"CMS, SSIR No. 42, 1984, page 23",,
184,"Water Retention, clod, 0.06, 0.1, 0.33, or 1 bar, pressure-plate extraction","Water Retention, 0.33 Bar, clod","H2O.33bclod","4B1c","CMS, SSIR No. 42, 1984, page 23","144","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=172"
185,"Water Retention, 0.33 Bar, Pressure-Plate, clod, rewet","Water Retention, 0.33 Bar, clod, rewet","H2O.33bcrw","4B1e","CMS, SSIR No. 42, 1984, page 23","155","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=183"
186,"Water Retention, 0.33 Bar, Pressure-Plate, clod","Water Retention, 0.33 Bar, clod","unknown",,"CMS",,
187,"Water Retention, Field State, clod","Water Retention, Field State","H2OFSclod","4B4","CMS, SSIR No. 42, 1972, page 17",,
188,"Water Retention, Field State, clod","Water Retention, Field State","unknown","4B4","CMS",,
189,"X-ray Diffraction, Thin Film on Glass, Resin Pretreatment I","Clay Mineralogy, X-ray Diffraction","XRAY","7A2b","CMS 7A2b","982","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=1010"
190,"X-ray Diffraction, Thin Film on Glass, Resin Pretreatment II","Clay Mineralogy, X-ray Diffraction","XRAY","7A2i","CMS",,
190,"X-ray Diffraction, Thin Film on Glass, Resin Pretreatment II","Clay Mineralogy, X-ray Diffraction","XRAY","7A2i","CMS","801","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=829"
191,"Index of Accumulation - 8D7","Index of Accumulation","IndxAcc",,"CMS",,
