"data_tier_desc","column_index","column_name","analyte_name","analyte_abbrev","analyte_code","analyte_type","analyte_data_type","analyte_format","uom_abbrev","analyte_desc","calc_size_frac"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 1","ecec_cly_cecd1","ececcl_d-7_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CEC-Set 6","ecec_cly_cec6","ececcl_d-6_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CEC-Set 5","ecec_cly_cec5","ececcl_d-5_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CEC-Set 4","ecec_cly_cec4","ececcl_d-4_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CEC-Set 3","ecec_cly_cec3","ececcl_d-3_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CEC-Set 2","ecec_cly_cec2","ececcl_d-2_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CEC-Set 1","ecec_cly_cec1","ececcl_d-1_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Salt",22,"na_exch","Exchangeable Sodium Percentage, SI-Set 4, CECd-Set 3","na_exch_sat4_cecd3","ESPsat_d-16_S","derived_analyte","F","3","%","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na.","<2 mm"
"Taxonomy Tier 2",19,"na_exch_sat_cec","Exchangeable Sodium Percentage, SI-Set 4, CECd-Set 3","na_exch_sat4_cecd3","ESPsat_d-16_S","derived_analyte","F","3","%","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na.","<2 mm"
"Salt",22,"na_exch","Exchangeable Sodium Percentage, SI-Set 4, CECd-Set 2","na_exch_sat4_cecd2","ESPsat_d-15_S","derived_analyte","F","3","%","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na.","<2 mm"
"Taxonomy Tier 2",19,"na_exch_sat_cec","Exchangeable Sodium Percentage, SI-Set 4, CECd-Set 2","na_exch_sat4_cecd2","ESPsat_d-15_S","derived_analyte","F","3","%","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na.","<2 mm"
"CEC and Bases",15,"al_sat","Aluminum Saturation, CECd-Set 3","al_sat_cecd3","AlSat_d-9_S","derived_analyte","I","3","%","Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity.",
"Taxonomy Tier 2",17,"al_sat_cec","Aluminum Saturation, CECd-Set 3","al_sat_cecd3","AlSat_d-9_S","derived_analyte","I","3","%","Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity.","<2 mm"
"CEC and Bases",15,"al_sat","Aluminum Saturation, CECd-Set 2","al_sat_cecd2","AlSat_d-8_S","derived_analyte","I","3","%","Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity.",
"Taxonomy Tier 2",17,"al_sat_cec","Aluminum Saturation, CECd-Set 2","al_sat_cecd2","AlSat_d-8_S","derived_analyte","I","3","%","Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity.","<2 mm"
"CEC and Bases",15,"al_sat","Aluminum Saturation, CECd-Set 1","al_sat_cecd1","AlSat_d-7_S","derived_analyte","I","3","%","Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity.",
"Taxonomy Tier 2",17,"al_sat_cec","Aluminum Saturation, CECd-Set 1","al_sat_cecd1","AlSat_d-7_S","derived_analyte","I","3","%","Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity.","<2 mm"
"CEC and Bases",14,"base_al","Cation Exchange Capacity, Effective, CEC-Set 6","ecec_cec6","ECEC_d-6_S","derived_analyte","F","4.1","meq/100g","The effective cation exchange capacity is calculated by BASE_SUM+AL_KCL. It is not calculated if soluble salts are present. It is reported as meq per 100 grams on a <2 mm base.",
"Taxonomy Tier 2",14,"ecec_cec","Cation Exchange Capacity, Effective, CEC-Set 6","ecec_cec6","ECEC_d-6_S","derived_analyte","F","4.1","meq/100g","The effective cation exchange capacity is calculated by BASE_SUM+AL_KCL. It is not calculated if soluble salts are present. It is reported as meq per 100 grams on a <2 mm base.","<2 mm"
"Andic Soil Properties Tier 2",17,"ecec_cec","Cation Exchange Capacity, Effective, CEC-Set 6","ecec_cec6","ECEC_d-6_S","derived_analyte","F","4.1","meq/100g","The effective cation exchange capacity is calculated by BASE_SUM+AL_KCL. It is not calculated if soluble salts are present. It is reported as meq per 100 grams on a <2 mm base.",
"CEC and Bases",14,"base_al","Cation Exchange Capacity, Effective, CEC-Set 5","ecec_cec5","ECEC_d-5_S","derived_analyte","F","4.1","meq/100g","The effective cation exchange capacity is calculated by BASE_SUM+AL_KCL. It is not calculated if soluble salts are present. It is reported as meq per 100 grams on a <2 mm base.",
"Taxonomy Tier 2",14,"ecec_cec","Cation Exchange Capacity, Effective, CEC-Set 5","ecec_cec5","ECEC_d-5_S","derived_analyte","F","4.1","meq/100g","The effective cation exchange capacity is calculated by BASE_SUM+AL_KCL. It is not calculated if soluble salts are present. It is reported as meq per 100 grams on a <2 mm base.","<2 mm"
"Andic Soil Properties Tier 2",17,"ecec_cec","Cation Exchange Capacity, Effective, CEC-Set 5","ecec_cec5","ECEC_d-5_S","derived_analyte","F","4.1","meq/100g","The effective cation exchange capacity is calculated by BASE_SUM+AL_KCL. It is not calculated if soluble salts are present. It is reported as meq per 100 grams on a <2 mm base.",
"CEC and Bases",14,"base_al","Cation Exchange Capacity, Effective, CEC-Set 4","ecec_cec4","ECEC_d-4_S","derived_analyte","F","4.1","meq/100g","The effective cation exchange capacity is calculated by BASE_SUM+AL_KCL. It is not calculated if soluble salts are present. It is reported as meq per 100 grams on a <2 mm base.",
"Taxonomy Tier 2",14,"ecec_cec","Cation Exchange Capacity, Effective, CEC-Set 4","ecec_cec4","ECEC_d-4_S","derived_analyte","F","4.1","meq/100g","The effective cation exchange capacity is calculated by BASE_SUM+AL_KCL. It is not calculated if soluble salts are present. It is reported as meq per 100 grams on a <2 mm base.","<2 mm"
"Andic Soil Properties Tier 2",17,"ecec_cec","Cation Exchange Capacity, Effective, CEC-Set 4","ecec_cec4","ECEC_d-4_S","derived_analyte","F","4.1","meq/100g","The effective cation exchange capacity is calculated by BASE_SUM+AL_KCL. It is not calculated if soluble salts are present. It is reported as meq per 100 grams on a <2 mm base.",
"CEC and Bases",15,"al_sat","Aluminum Saturation, CEC-Set 6","al_sat_cec6","AlSat_d-6_S","derived_analyte","I","3","%","Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity.",
"Taxonomy Tier 2",17,"al_sat_cec","Aluminum Saturation, CEC-Set 6","al_sat_cec6","AlSat_d-6_S","derived_analyte","I","3","%","Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity.","<2 mm"
"CEC and Bases",15,"al_sat","Aluminum Saturation, CEC-Set 5","al_sat_cec5","AlSat_d-5_S","derived_analyte","I","3","%","Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity.",
"Andic Soil Properties Tier 2",15,"al_kcl","Aluminum, KCl Extractable","al_kcl","Al_kcl","aggregate analyte","F","4.1","cmol(+)/kg","KCl extractable aluminum approximates the exchangeable Al, and is a measure of the active acidity present in soils with a 1:1 water pH less than 5.5. It relates to the immediate lime requirement and the CEC of the soil.",
"Carbon and Extractions",11,"mn_dith","Manganese, Dithionite Citrate Extractable","mn_dith","Mn_dc","aggregate analyte","F","4.1","% wt","Dithionite citrate extractable manganese is considered easily reducible manganese. It is reported as gravimetric percent on a <2 mm base. Values >0.2% are rare.",
"Geochemistry Tier 2",15,"mn_dith","Manganese, Dithionite Citrate Extractable","mn_dith","Mn_dc","aggregate analyte","F","4.1","% wt","Dithionite citrate extractable manganese is considered easily reducible manganese. It is reported as gravimetric percent on a <2 mm base. Values >0.2% are rare.",
"Carbon and Extractions",9,"fe_dith","Iron, Dithionite Citrate Extractable","fe_dith","Fe_dc","aggregate analyte","F","4.1","% wt","Dithionite citrate extractable iron is considered a general measure of total pedogenic iron. It provides inferences on the amount of iron in various forms, P fixing potential, aggregate stability, and degree of weathering. Reported as grav % on <2mm.",
"Geochemistry Tier 2",13,"fe_dith","Iron, Dithionite Citrate Extractable","fe_dith","Fe_dc","aggregate analyte","F","4.1","% wt","Dithionite citrate extractable iron is considered a general measure of total pedogenic iron. It provides inferences on the amount of iron in various forms, P fixing potential, aggregate stability, and degree of weathering. Reported as grav % on <2mm.",
"Carbon and Extractions",10,"al_dith","Aluminum, Dithionite Citrate Extractable","al_dith","Al_dc","aggregate analyte","F","4.1","% wt","Dithionite citrate extractable aluminum is an indicator of the amount of aluminum substituted for iron in iron oxides. It does not necessarily represent total pedogenic Al.",
"Geochemistry Tier 2",14,"al_dith","Aluminum, Dithionite Citrate Extractable","al_dith","Al_dc","aggregate analyte","F","4.1","% wt","Dithionite citrate extractable aluminum is an indicator of the amount of aluminum substituted for iron in iron oxides. It does not necessarily represent total pedogenic Al.",
"Carbon and Extractions",16,"si_ox","Silicon, Oxalate Extractable","si_ox","Si_ox","aggregate analyte","F","5.2","% wt","The amount of ammonium oxalate extractable silica relates to the amount of allophane and imogolite in andic materials. It is reported as a gravimetric percent on a <2 mm base.",
"Geochemistry Tier 2",17,"si_ox","Silicon, Oxalate Extractable","si_ox","Si_ox","aggregate analyte","F","5.2","% wt","The amount of ammonium oxalate extractable silica relates to the amount of allophane and imogolite in andic materials. It is reported as a gravimetric percent on a <2 mm base.",
"Phosphorus",6,"p_ox","Phosphorus, Oxalate Extractable","p_ox","P_ox","aggregate analyte","F","6.1","mg/kg","Phosphorus extracted with ammonium oxalate",
"Geochemistry Tier 2",20,"p_ox","Phosphorus, Oxalate Extractable","p_ox","P_ox","aggregate analyte","F","6.1","mg/kg","Phosphorus extracted with ammonium oxalate",
"Carbon and Extractions",17,"mn_ox","Manganese, Oxalate Extractable","mn_ox","Mn_ox","aggregate analyte","F","7.1","mg/kg","The ammonium oxalate extractable manganese is assumed to be the fraction held in noncrystalline compounds. It is reported as milligrams per kilogram on a <2 mm base.",
"Geochemistry Tier 2",18,"mn_ox","Manganese, Oxalate Extractable","mn_ox","Mn_ox","aggregate analyte","F","7.1","mg/kg","The ammonium oxalate extractable manganese is assumed to be the fraction held in noncrystalline compounds. It is reported as milligrams per kilogram on a <2 mm base.",
"Carbon and Extractions",14,"fe_ox","Iron, Oxalate Extractable","fe_ox","Fe_ox","aggregate analyte","F","5.2","% wt","Ammonium oxalate extractable iron is considered a measure of the noncrystalline Fe in soils. It provides some inferences of the amount of Fe in various forms. It is reported as gravimetric % on a <2mm base.",
"Geochemistry Tier 2",16,"fe_ox","Iron, Oxalate Extractable","fe_ox","Fe_ox","aggregate analyte","F","5.2","% wt","Ammonium oxalate extractable iron is considered a measure of the noncrystalline Fe in soils. It provides some inferences of the amount of Fe in various forms. It is reported as gravimetric % on a <2mm base.",
"Carbon and Extractions",15,"al_ox","Aluminum, Oxalate Extractable","al_ox","Al_ox","aggregate analyte","F","5.2","% wt","Ammonium  oxalate extractable aluminum is an estimate of the total pedogenic Al, much of which may be in noncrystalline materials or complexed by organic matter. It is reported as gravimetric percent on a <2 mm base.",
"Geochemistry Tier 2",19,"al_ox","Aluminum, Oxalate Extractable","al_ox","Al_ox","aggregate analyte","F","5.2","% wt","Ammonium  oxalate extractable aluminum is an estimate of the total pedogenic Al, much of which may be in noncrystalline materials or complexed by organic matter. It is reported as gravimetric percent on a <2 mm base.",
"Andic Soil Properties Tier 1",23,"alfe15_glass","AlplushalfFe times 15.625 plus Glass, GP prep, Inst Set 1","alfe15_glass","alfe15gc_d-1_GP","derived_analyte","I","3","%","Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages.",
"Andic Soil Properties Tier 1",23,"alfe15_glass","AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 4","alfe15_glass","alfe15gc_d-4_N","derived_analyte","I","3","%","Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages.",
"Andic Soil Properties Tier 1",23,"alfe15_glass","AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 3","alfe15_glass","alfe15gc_d-3_N","derived_analyte","I","3","%","Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages.",
"Andic Soil Properties Tier 1",23,"alfe15_glass","AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 2","alfe15_glass","alfe15gc_d-2_N","derived_analyte","I","3","%","Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages.",
"Andic Soil Properties Tier 1",23,"alfe15_glass","AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 1","alfe15_glass","alfe15gc_d-1_N","derived_analyte","I","3","%","Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages.",
"Andic Soil Properties Tier 1",23,"alfe15_glass","AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 4","alfe15_glass","alfe15gc_d-4_S","derived_analyte","I","3","%","Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages.",
"Andic Soil Properties Tier 1",23,"alfe15_glass","AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 3","alfe15_glass","alfe15gc_d-3_S","derived_analyte","I","3","%","Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages.",
"Andic Soil Properties Tier 1",23,"alfe15_glass","AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 2","alfe15_glass","alfe15gc_d-2_S","derived_analyte","I","3","%","Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages.",
"Andic Soil Properties Tier 1",23,"alfe15_glass","AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 1","alfe15_glass","alfe15gc_d-1_S","derived_analyte","I","3","%","Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages.",
"Andic Soil Properties Tier 1",7,"cosi_vcos","Sand, Total plus CoSi, N prep","sandtot_cosi_psa","CoSiS_d-3_N","derived_analyte","F","4.1","% wt","Total sand plus coarse silt is the soil separate with 0.02 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base.  N prep.",
"Andic Soil Properties Tier 1",7,"cosi_vcos","Sand, Total plus CoSi, GP prep","sandtot_cosi_psa","CoSiS_d-2_GP","derived_analyte","F","4.1","% wt","Total sand plus coarse silt is the soil separate with 0.02 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. G prep.",
"Andic Soil Properties Tier 1",7,"cosi_vcos","Sand, Total plus CoSi","sandtot_cosi_psa","CoSiS_d-1_S","derived_analyte","F","4.1","% wt","Total sand plus coarse silt is the soil separate with 0.02 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. S prep",
"Andic Soil Properties Tier 1",7,"cosi_vcos","Sand, Total plus CoSi, Moist","sandtot_cosi_Moist","MCoSiS_d-1_M","derived_analyte","F","4.1","% wt","Total sand plus coarse silt is the soil separate with 0.02 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. M prep",
"Andic Soil Properties Tier 1",4,"clay_tot","Clay","clay_tot_psa4","ClyT_p","aggregate analyte","F","4.1","% wt","Total clay is the soil separate with <0.002 mm particle diameter. Clay size carbonate is included. Total clay is reported as a weight percent of the <2 mm fraction.",
"Supplementary Tier 3",4,"vfg2","Volume Percentage, >2mm, @ 1/3 Bar, Whole Soil","vfg2","vpG2_d-1_S","derived_analyte","F","3","% vol","Particles with >2 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.","whole soil"
"Taxonomy Tier 1",12,"vfg2","Volume Percentage, >2mm, @ 1/3 Bar, Whole Soil","vfg2","vpG2_d-1_S","derived_analyte","F","3","% vol","Particles with >2 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.","whole soil"
"Andic Soil Properties Tier 1",10,"vfg2","Volume Percentage, >2mm, @ 1/3 Bar, Whole Soil","vfg2","vpG2_d-1_S","derived_analyte","F","3","% vol","Particles with >2 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.","whole soil"
"Supplementary Tier 3",11,"vfl2","Volume Percentage, <2mm, @ 1/3 Bar, Whole Soil","vfl2","vpL2_d-1_S","derived_analyte","F","3","% vol","Particles with <2 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.","whole soil"
"Supplementary Tier 3",14,"vftl002","Volume Percentage, <0.002mm, @ 1/3 Bar, Whole Soil","vftl002","vpL002_d-1_S","derived_analyte","F","3","% vol","Particles with <0.002 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.","whole soil"
"Supplementary Tier 2",28,"vr_13w","Void Ratio @ 1/3 Bar, Whole Soil","vr_13w","vr13w_d-1_S","derived_analyte","F","4.2","(NA)","The void ratio at 1/3 bar, whole soil is the calculated ratio of pore volume to solids volume at 1/3 bar water tension, reported as a ratio on a whole soil base.","whole soil"
"Supplementary Tier 2",29,"vr_13l2","Void Ratio @ 1/3 Bar, <2mm","vr_13l2","vr13L2_d-1","derived_analyte","F","4.2","(NA)","The void ratio at 1/3 bar, <2 mm is the calculated ratio of pore volume to solids volume at 1/3 bar water tension, reported as a ratio on a <2 mm base.",
"Salt",19,"te_salt_si","Total Salt, Estimated, SI-Set 1, S Prep","te_salt_si1","EsSalt_d-1_S","derived_analyte","F","4.1","% wt","The total estimated salt content of a sample is calculated from the electrical conductivity. It is reported as gravimetric percent on a <2 mm base.","<2 mm"
"Supplementary Tier 4",18,"tex_psda","Texture, USDA","tex_psda","Textur_d-1_S","derived_analyte","C","4","(NA)","The laboratory determined texture of the <2 mm fraction is calculated from particle size separate data.","<2 mm"
"CEC and Bases",8,"base_sum_cec","Sum of NH4OAc Extractable Bases, CEC-Set 1","base_sum_cec1","cecsb_d-1_S","derived_analyte","F","4.1","meq/100g","The sum of NH4OAC extractable bases is calculated as (CA_NH4+MG_NH4+NA_NH4+K_NH4). It is reported as meq per 100 grams on a <2 mm base.",
"Andic Soil Properties Tier 2",16,"base_sum_cec","Sum of NH4OAc Extractable Bases, CEC-Set 1","base_sum_cec1","cecsb_d-1_S","derived_analyte","F","4.1","meq/100g","The sum of NH4OAC extractable bases is calculated as (CA_NH4+MG_NH4+NA_NH4+K_NH4). It is reported as meq per 100 grams on a <2 mm base.",
"PSDA and Rock Fragments",5,"total_silt","Silt, Total","silt_tot_psa","Silt_d-1_S","derived_analyte","F","4.1","% wt","Total silt is the soil separate with 0.002 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
"Supplementary Tier 4",20,"silt_tot_psa","Silt, Total","silt_tot_psa","Silt_d-1_S","derived_analyte","F","4.1","% wt","Total silt is the soil separate with 0.002 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
"Geochemistry Tier 1",5,"total_silt","Silt, Total","silt_tot_psa","Silt_d-1_S","derived_analyte","F","4.1","% wt","Total silt is the soil separate with 0.002 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.",
"PSDA and Rock Fragments",10,"coarse_silt","Silt, Coarse","silt_c_psa","CSilt_d-1_S","derived_analyte","F","4.1","% wt","Coarse silt is the soil separate with 0.02 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
"PSDA and Rock Fragments",6,"total_sand","Sand, Total","sand_tot_psa","Sand_d-1_S","derived_analyte","F","4.1","% wt","Total sand is the soil separate with 0.05 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. S prep","<2 mm"
"Water Dispersible PSDA",10,"w_slt_c","Silt, Coarse,  H2O Dispersible, N Prep","w_slt_c","cSiH2O_d-1_N","derived_analyte","F","4.1","% wt","H2O dispersible coarse silt, <2mm (by pipette) is the gravimetric percent of 0.02 to 0.05 mm diameter particles separated without chemical dispersion, or organic matter and salt removal. It is reported on a <2 mm base.","<2 mm"
"Water Dispersible PSDA",5,"w_silt_tot","Silt, Total, H2O Dispersible, N Prep","w_slt_tot","SiH2O_d-1_N","derived_analyte","F","4.1","% wt","H2O dispersible silt, <2mm (by pipette) is the gravimetric percent 0.002 to 0.05 mm diameter particles separated without chemical dispersants or organic matter and salt removal. It is reported on a <2 mm base.","<2 mm"
"Water Dispersible PSDA",6,"w_snd_tot","Sand, Total, H2O Dispersible, N Prep","w_snd_tot","SndH2O_d-1_N","derived_analyte","F","4.1","% wt","H2O dispersible sand, <2mm (by pipette) is the gravimetric percent 0.05 to 2.0 mm diameter particles separated without chemical dispersants or organic matter and salt removal. It is reported on a <2 mm base.","<2 mm"
"PSDA and Rock Fragments",5,"total_silt","Silt, Total, Ultrasonic, Pipet","silt_tot_Ultrasonic","Siltu_d-1_S","derived_analyte","F","4.1","% wt","Total silt is the soil separate with 0.002 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
"PSDA and Rock Fragments",10,"coarse_silt","Silt, Coarse, Ultrasonic, Pipet","silt_c_Ultrasonic","CSiltu_d-1_S","derived_analyte","F","4.1","% wt","Coarse silt is the soil separate with 0.02 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
"PSDA and Rock Fragments",6,"total_sand","Sand, Total, Ultrasonic, Pipet","sand_tot_Ultrasonic","Sandu_d-1_S","derived_analyte","F","4.1","% wt","Total sand is the soil separate with 0.05 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. S prep","<2 mm"
"PSDA and Rock Fragments",5,"total_silt","Silt, Total, NaOH, Pipet","silt_tot_NaOH","SiltOH_d-1_S","derived_analyte","F","4.1","% wt","Total silt is the soil separate with 0.002 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
"PSDA and Rock Fragments",10,"coarse_silt","Silt, Coarse, NaOH, Pipet","silt_c_NaOH","CSiltOH_d-1_S","derived_analyte","F","4.1","% wt","Coarse silt is the soil separate with 0.02 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
"PSDA and Rock Fragments",6,"total_sand","Sand, Total, NaOH, Pipet","sand_tot_NaOH","SandOH_d-1_S","derived_analyte","F","4.1","% wt","Total sand is the soil separate with 0.05 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. S prep","<2 mm"
"PSDA and Rock Fragments",5,"total_silt","Silt, Total, NaOAc, Pipet","silt_tot_NaOAc","SiltN_d-1_S","derived_analyte","F","4.1","% wt","Total silt is the soil separate with 0.002 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
"PSDA and Rock Fragments",10,"coarse_silt","Silt, Coarse, NaOAc, Pipet","silt_c_NaOAc","CSiltN_d-1_S","derived_analyte","F","4.1","% wt","Coarse silt is the soil separate with 0.02 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
"PSDA and Rock Fragments",6,"total_sand","Sand, Total, NaOAc, Pipet","sand_tot_NaOAc","SandN_d-1_S","derived_analyte","F","4.1","% wt","Total sand is the soil separate with 0.05 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. S prep","<2 mm"
"PSDA and Rock Fragments",5,"total_silt","Silt, Total, Moist, Ultrasonic, Pipet","silt_tot_Moist_Ultra","SiltMu_d-1_M","derived_analyte","F","4.1","% wt","Total silt is the soil separate with 0.002 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
"PSDA and Rock Fragments",10,"coarse_silt","Silt, Coarse, Moist, Ultrasonic, Pipet","silt_c_Moist_Ultra","CSiltMu_d-1_M","derived_analyte","F","4.1","% wt","Coarse silt is the soil separate with 0.02 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
"PSDA and Rock Fragments",6,"total_sand","Sand, Total, Moist, Ultrasonic, Pipet","sand_tot_Moist_Ultra","SandMu_d-1_M","derived_analyte","F","4.1","% wt","Total sand is the soil separate with 0.05 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. S prep","<2 mm"
"CEC and Bases",12,"cec_sum","Cation Exchange Capacity, Sum of Cations, CECd-Set 11","cec_sum_cecd11","CECsum_d-14_M","derived_analyte","F","4.1","meq/100g","This is the calculated CEC at pH 8.2. It is calculated by (BASE_SUM+ACID_TEA). It is reported as meq per 100 grams sample on a <2 mm base.",
"CEC and Bases",12,"cec_sum","Cation Exchange Capacity, Sum of Cations, CECd-Set 10","cec_sum_cecd10","CECsum_d-13_S","derived_analyte","F","4.1","meq/100g","This is the calculated CEC at pH 8.2. It is calculated by (BASE_SUM+ACID_TEA). It is reported as meq per 100 grams sample on a <2 mm base.",
"CEC and Bases",17,"bsesat","Base Saturation, NH4OAc, pH 7.0, CECd-Set 12","bsesat_cecd12","BSSBas_d-15_N","derived_analyte","I","3","%","NH4OAC base saturation (pH 7.0) is calculated by (BASE_SUM/CEC_NH4)*100.",
"Andic Soil Properties Tier 2",18,"bsesat_cec","Base Saturation, NH4OAc, pH 7.0, CECd-Set 12","bsesat_cecd12","BSSBas_d-15_N","derived_analyte","I","3","%","NH4OAC base saturation (pH 7.0) is calculated by (BASE_SUM/CEC_NH4)*100.",
"CEC and Bases",17,"bsesat","Base Saturation, NH4OAc, pH 7.0, CECd-Set 11","bsesat_cecd11","BSSBas_d-14_M","derived_analyte","I","3","%","NH4OAC base saturation (pH 7.0) is calculated by (BASE_SUM/CEC_NH4)*100.",
